# y+ ()           
# Time            	patch             	min               	max               	average           
0.05              	ground	9.6465903026e+01	1.0035408577e+03	5.4938197990e+02
0.05              	explosionChamber	5.5972751647e+01	3.0246596792e+02	1.0281297280e+02
0.1               	ground	9.3166417765e+01	9.9745830555e+02	5.4446629987e+02
0.1               	explosionChamber	5.2608788945e+01	7.6582092704e+02	1.0351630840e+02
0.15              	ground	8.9425854874e+01	1.8337602641e+03	5.4388169608e+02
0.15              	explosionChamber	3.4483842549e+01	8.9692738766e+03	1.5629196850e+02
0.2               	ground	8.3876430855e+01	7.0347679471e+03	6.1256457324e+02
0.2               	explosionChamber	1.9284651047e+01	6.5412723953e+03	2.9139074377e+02
0.25              	ground	1.2989054687e+01	1.6056258774e+04	8.9360200690e+02
0.25              	explosionChamber	1.1546475941e+01	6.7474447072e+03	4.9885500133e+02
0.3               	ground	1.2070139566e+01	1.5335411353e+04	9.1492693240e+02
0.3               	explosionChamber	1.1563445412e+01	6.4405899311e+03	4.4600831252e+02
