Simulation_Iteration,Time,deltaT,PIMPLE_Iterations
1,1.19999040008e-06,1.1999904e-06,
2,17.11,1.439974656e-06,33
3,30.67,1.727979541e-06,29
4,42.11,2.073561115e-06,27
5,53.07,2.488232057e-06,26
6,64.07,2.985789301e-06,26
7,74.63,3.582861559e-06,25
8,84.99,4.299372236e-06,25
9,94.84,5.158980413e-06,24
10,104.72,6.190393071e-06,24
11,114.6,7.428103592e-06,24
12,124.67,8.913724311e-06,24
13,134.83,1.069646917e-05,24
14,144.85,1.28352132e-05,24
15,154.79,1.540067223e-05,24
16,164.67,1.84796663e-05,24
17,174.72,2.217559956e-05,24
18,184.79,2.661308614e-05,24
19,195.02,3.193229361e-05,24
20,205.18,3.831875234e-05,24
21,215.38,4.596127358e-05,24
22,225.4,5.513314635e-05,24
23,235.49,6.614509303e-05,24
24,245.55,7.937411164e-05,24
25,255.69,9.524893396e-05,24
26,265.91,0.0001141667361,24
27,276.09,0.0001370000833,24
28,286.21,0.0001644917388,24
29,296.37,0.0001976553958,24
30,306.48,0.0002369945766,24
31,316.52,0.0002504324134,24
32,326.14,0.0002504324134,23
33,335.85,0.0002504324134,23
34,345.65,0.0002504324134,23
35,355.43,0.0002504324134,23
36,365.04,0.0002504324134,23
37,374.7,0.0002504324134,23
38,384,0.0002504324134,22
39,393.27,0.0002504324134,22
40,402.53,0.0002504324134,22
41,411.73,0.0002504324134,22
42,420.82,0.0002504324134,22
43,430.15,0.0002504324134,22
44,438.87,0.0002504324134,21
45,447.74,0.0002504324134,21
46,456.42,0.0002504324134,21
47,465.27,0.0002504324134,21
48,474,0.0002504324134,21
49,482.9,0.0002504324134,21
50,491.77,0.0002504324134,21
51,500.62,0.0002504324134,21
52,509.33,0.0002504324134,21
53,518.07,0.0002504324134,21
54,526.95,0.0002504324134,21
55,535.27,0.0002504324134,20
56,543.66,0.0002504324134,20
57,552.07,0.0002504324134,20
58,561.78,0.0002504324134,23
59,570.24,0.0002504324134,20
60,578.79,0.0002504324134,20
61,587.23,0.0002504324134,20
62,595.57,0.0002504324134,20
63,603.99,0.0002504324134,20
64,612.4,0.0002504324134,20
65,620.89,0.0002504324134,20
66,629.2,0.0002504324134,20
67,637.56,0.0002504324134,20
68,646,0.0002504324134,20
69,654.41,0.0002504324134,20
70,662.84,0.0002504324134,20
71,671.29,0.0002504324134,20
72,679.62,0.0002504324134,20
73,688,0.0002504324134,20
74,696.01,0.0002504324134,19
75,704.04,0.0002504324134,19
76,712.01,0.0002504324134,19
77,719.96,0.0002504324134,19
78,727.98,0.0002504324134,19
