# y+ ()           
# Time            	patch             	min               	max               	average           
0.05              	ground	9.6400414606e+01	1.0035404948e+03	5.4935979333e+02
0.05              	explosionChamber	5.5955321901e+01	3.0249812253e+02	1.0274424337e+02
0.1               	ground	9.2973390415e+01	9.9742625586e+02	5.4421620844e+02
0.1               	explosionChamber	5.2390713662e+01	5.3102678129e+02	1.0153036025e+02
0.15              	ground	8.9498152457e+01	9.9161645499e+02	5.4118867849e+02
0.15              	explosionChamber	3.6886519439e+01	6.4292452147e+03	1.2181820998e+02
0.2               	ground	5.9797399524e+01	1.7930749535e+04	6.4184795625e+02
0.2               	explosionChamber	3.6119472832e+01	3.8589398709e+03	1.8837725945e+02
0.25              	ground	2.4729594114e+01	1.4131243393e+04	7.7619731582e+02
0.25              	explosionChamber	1.3214958526e+01	6.6243804547e+03	4.6578169083e+02
0.3               	ground	1.2903747036e+01	1.6753964972e+04	8.8215231028e+02
0.3               	explosionChamber	1.1655868862e+01	6.9516964461e+03	4.5959155745e+02
