# y+ ()           
# Time            	patch             	min               	max               	average           
0.05              	ground	9.6420891111e+01	1.0035406159e+03	5.4936673987e+02
0.05              	explosionChamber	5.5960971295e+01	3.0248737885e+02	1.0276557068e+02
0.1               	ground	9.3030210932e+01	9.9743530277e+02	5.4428693284e+02
0.1               	explosionChamber	5.2452306444e+01	5.8713409133e+02	1.0205406642e+02
0.15              	ground	8.9500305032e+01	9.9166061065e+02	5.4169184568e+02
0.15              	explosionChamber	5.1734334265e+01	6.0004677117e+03	1.2654896928e+02
0.2               	ground	8.0136847902e+01	1.4449524090e+04	6.1059840139e+02
0.2               	explosionChamber	2.7133777914e+01	6.0330737913e+03	2.1207757294e+02
0.25              	ground	1.1621182346e+01	1.5265639823e+04	7.7474133997e+02
0.25              	explosionChamber	1.1531107804e+01	6.0168169213e+03	4.6479985445e+02
0.3               	ground	1.2420558090e+01	1.5659320116e+04	8.8898974355e+02
0.3               	explosionChamber	1.1530730597e+01	6.7401759368e+03	4.4511761685e+02
