# y+ ()           
# Time            	patch             	min               	max               	average           
0.05              	ground	9.6384400128e+01	1.0035404006e+03	5.4935414972e+02
0.05              	explosionChamber	5.5950904361e+01	3.0250601201e+02	1.0272692404e+02
0.1               	ground	9.2906115303e+01	9.9741813633e+02	5.4415185128e+02
0.1               	explosionChamber	5.2336812838e+01	4.7578675289e+02	1.0106586089e+02
0.15              	ground	8.9407746113e+01	9.9157391122e+02	5.4077908480e+02
0.15              	explosionChamber	5.1028050102e+01	4.7976529631e+03	1.1655657399e+02
0.2               	ground	8.9128259922e+01	1.4146349232e+04	6.2127804177e+02
0.2               	explosionChamber	3.5113483122e+01	6.4293962516e+03	2.1924989497e+02
0.25              	ground	2.2742439792e+01	1.3382659136e+04	7.2377251223e+02
0.25              	explosionChamber	1.3339539434e+01	8.1020664130e+03	4.1147092171e+02
0.3               	ground	1.1597530481e+01	1.2709974301e+04	8.4627023258e+02
0.3               	explosionChamber	1.1530922498e+01	7.0038368566e+03	4.3094735072e+02
