Plan Name,Experiment_Plan_v000
Responsible Researcher,PhD Student Javier I. Camacho
Objective,LU / DBI / Kistler pressure DAQ systems characterisation.
Start Date,2026-05-25
Deadline,2026-05-29
Total Experiments,27
Generated At,2026-05-31 16:29:43

Run Name,Group,Group Description,Done,Schedule,H2 (%),Ignition,Vent,Pressure P0 (Pa),Temperature T0 (K),Data Files Count,File Path (Raw_Data Folder)
Prep-01,Prep,Preparation,Yes,2026-05-25,13.5,Back Wall,Thin Film with Hotwire NOT Activated,101325,292.15,2,Prep-01/DAQ-2/Prep-01-DAQ-2.mf4 | Prep-01/H2CM/Prep-01-H2CM-U.csv
Verif-01,Verif,Performance Verification,Yes,2026-05-26,13.5,Back Wall,Thin Film with Hotwire Activated,101325,293,5,Verif-01/DAQ-1-Verif-01.tpc5 | Verif-01/DAQ-2-Verif-01/DAQ-2-Verif_01.mf4 | Verif-01/H2CM-L-Verif-01-260526-120036.csv | Verif-01/H2CM-M-Verif-01-260526-115955.csv | Verif-01/H2CM-U-Verif-01-260526-115817.csv
Verif-02,Verif,Performance Verification,Yes,2026-05-26,14,Back Wall,Thin Film with Hotwire Activated,101325,293,3,Verif-02/DAQ-1/DAQ-1-Verif-02.tpc5 | Verif-02/DAQ-2/DAQ-2-Verif_02/DAQ-2-Verif_02.mf4 | Verif-02/H2CM/H2CM-U-M-L-Verif-02-260526-144155.csv
Verif-03,Verif,Performance Verification,Yes,2026-05-26,16,,,101325,293,3,Verif-03/DAQ-1/DAQ-1-Verif-03.tpc5 | Verif-03/DAQ-2/DAQ-2-Verif-03/DAQ-2-Verif-03.mf4 | Verif-03/H2CM/H2CM-U-M-L-Verif-03-260526-160316.csv
Verif-04,Verif,Performance Verification,Yes,2026-05-26,18,,,101325,293,3,Verif-04/DAQ-1/DAQ-1-Verif-04.tpc5 | Verif-04/DAQ-2/DAQ-2-Verif-04/DAQ-2-Verif-04.mf4 | Verif-04/H2CM/H2CM-U-M-L-Verif-04-260526-174304.csv
VH2D-01-01,VH2D-01,Vented deflagration concentration series (Hotwire),Yes,2026-05-27,16,Back,Thin Plastic,101325,293,3,VH2D-01-01/DAQ-1/DAQ-1-VH2D-01-01.tpc5 | VH2D-01-01/H2CM/H2CM-U-M-L-VH2D-01-01-260527-140320.csv | VH2D-01-01/DAQ-2-3/DAQ-2-3-VH2D-01-01.mf4
VH2D-01-02,VH2D-01,Vented deflagration concentration series (Hotwire),Yes,2026-05-27,16,Back,Thin Plastic,101325,293,3,VH2D-01-02/DAQ-1/DAQ-1-VH2D-01-02.tpc5 | VH2D-01-02/H2CM/H2CM-U-M-L-VH2D-01-02-260527-150043.csv | VH2D-01-02/DAQ-2-3/DAQ-2-3-VH2D-01-02.mf4
VH2D-01-03,VH2D-01,Vented deflagration concentration series (Hotwire),Yes,2026-05-27,18,back,Film,101325,293,2,VH2D-01-03/DAQ-1/DAQ-1-VH2D-01-03.tpc5 | VH2D-01-03/DAQ-2-3/DAQ-2-3-VH2D-01-03.mf4
VH2D-01-04,VH2D-01,Vented deflagration concentration series (Hotwire),Yes,2026-05-27,18,back,thin film,101325,293,3,VH2D-01-04/DAQ-1/DAQ-1-VH2D-01-04.tpc5 | VH2D-01-04/DAQ-2-3/DAQ-2-3-VH2D-01-04.mf4 | VH2D-01-04/H2CM/H2CM-U-M-L-VH2D-01-04-260527-164423.csv
VH2D-01-05,VH2D-01,Vented deflagration concentration series (Hotwire),No,2026-05-27,19,back,Thin Plastic,101325,293,0,
