Plan Name,Experiment_Plan_v000
Responsible Researcher,PhD Student Javier I. Camacho
Objective,LU / DBI / Kistler pressure DAQ systems characterisation.
Start Date,2026-05-25
Deadline,2026-05-29
Total Experiments,27
Generated At,2026-06-06 10:47:09

Run Name,Group,Group Description,Status,Done,Preparation,Schedule,Planned Date,Planned Day,H2 (%),H2 Injected (g),MFC Flow (SLPM),Ignition,Vent,Pressure P0 (Pa),Temperature T0 (K),Recirc Stop To Ignition (s),Case ID / CFD Hash,Data Files Count,File Path (Raw_Data Folder),Short Description,Run Notes,Error,Error Note,Canceled,Canceled Note
Prep-Wk22-01,Prep-Wk22,Preparation,done,Yes,Yes,2026-05-25,2026-05-25,,13.5,8.275657522940918,20,Back Wall,Thin Film with Hotwire NOT Activated,101325,292.15,,,3,Prep-Wk22-01/H2BGA/Prep-01-H2BGA-U.csv | Prep-Wk22-01/DAQ-1/Prep-01.exp/data/Prep-01-DAQ-1.tpc5 | Prep-Wk22-01/DAQ-2/Prep-01-DAQ-2.mf4,Preliminar Test,"Recirc stop → ignition time (s): No Recorded

injected 8.276 gr temp 292.15 K",No,,No,
Verif-Wk22-01,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,13.5,8.216595905954765,20,Back Wall,Thin Film with Hotwire Activated,101325,294.25,312,,5,Verif-Wk22-01/DAQ-1/DAQ-1-Verif-01.tpc5 | Verif-Wk22-01/DAQ-2/DAQ-2-Verif_01.mf4 | Verif-Wk22-01/H2BGA/H2BGA-L-Verif-01-260526-120036.csv | Verif-Wk22-01/H2BGA/H2BGA-M-Verif-01-260526-115955.csv | Verif-Wk22-01/H2BGA/H2BGA-U-Verif-01-260526-115817.csv,,"Physical Range -1,1 bar",No,,No,
Verif-Wk22-02,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,14,9.383538505159276,20,Back Wall,Thin Film with Hotwire Activated,101325,293.15,321,,3,Verif-Wk22-02/H2BGA/H2BGA-U-M-L-Verif-02-260526-144155.csv | Verif-Wk22-02/DAQ-1/DAQ-1-Verif-02.tpc5 | Verif-Wk22-02/DAQ-2/DAQ-2-Verif_02/DAQ-2-Verif_02.mf4,,"Physical Range -1,1 bar",No,,No,
Verif-Wk22-03,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,16,10.637876563061878,20,Back Wall,Thin Film with Hotwire Activated,101325,294.15,263,,3,Verif-Wk22-03/DAQ-1/DAQ-1-Verif-03.tpc5 | Verif-Wk22-03/DAQ-2/DAQ-2-Verif-03/DAQ-2-Verif-03.mf4 | Verif-Wk22-03/H2BGA/H2BGA-U-M-L-Verif-03-260526-160316.csv,,"
Channel 2 Physical Range -1, ,1 bar
Channel 2 Physical Range -0.5, ,0.5 bar
Leak on Blind Sensor Flange Connection 3L & 5L 

Volume Correction +0.06708 

",No,,No,
Verif-Wk22-04,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,18,12.070196519467626,20,Back Wall,Thin Film with Hotwire Activated,101325,291.65,233,,3,Verif-Wk22-04/DAQ-1/DAQ-1-Verif-04.tpc5 | Verif-Wk22-04/DAQ-2/DAQ-2-Verif-04/DAQ-2-Verif-04.mf4 | Verif-Wk22-04/H2BGA/H2BGA-U-M-L-Verif-04-260526-174304.csv,,P1 swapped for P5,No,,No,
VH2D-Wk22-01-01,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,16,10.674164731450286,20,Back Wall,Thin Film with Hotwire Activated,101325,293.15,,,3,VH2D-Wk22-01-01/H2BGA/H2BGA-U-M-L-VH2D-01-01-260527-140320.csv | VH2D-Wk22-01-01/DAQ-2-3/DAQ-2-3-VH2D-01-01.mf4 | VH2D-Wk22-01-01/DAQ-1/DAQ-1-VH2D-01-01.tpc5,,,No,,No,
VH2D-Wk22-01-02,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,16,10.714368741738232,20,Back Wall,Thin Film with Hotwire Activated,101325,292.05,228,,3,VH2D-Wk22-01-02/DAQ-1/DAQ-1-VH2D-01-02.tpc5 | VH2D-Wk22-01-02/H2BGA/H2BGA-U-M-L-VH2D-01-02-260527-150043.csv | VH2D-Wk22-01-02/DAQ-2-3/DAQ-2-3-VH2D-01-02.mf4,,,No,,No,
VH2D-Wk22-01-03,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,18,,20,Back Wall,Thin Film with Hotwire Activated,101325,293,201,,2,VH2D-Wk22-01-03/DAQ-1/DAQ-1-VH2D-01-03.tpc5 | VH2D-Wk22-01-03/DAQ-2-3/DAQ-2-3-VH2D-01-03.mf4,,,No,,No,
VH2D-Wk22-01-04,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,18,12.103396303602311,20,Back Wall,Thin Film with Hotwire Activated,101325,290.85,168,,3,VH2D-Wk22-01-04/DAQ-1/DAQ-1-VH2D-01-04.tpc5 | VH2D-Wk22-01-04/DAQ-2-3/DAQ-2-3-VH2D-01-04.mf4 | VH2D-Wk22-01-04/H2BGA/H2BGA-U-M-L-VH2D-01-04-260527-164423.csv,,"PP1 and PP3 swapped

DAQ-3 sampling rate 62.5kHz changed to 200kHz",No,,No,
VH2D-Wk22-01-05,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),canceled,No,Yes,2026-05-27,2026-05-27,3,19,,20,Back Wall,Thin Film with Hotwire Activated,101325,293,,,0,,,DAQ-3 sampling rate 62.5kHz changed to 200kHz,No,,Yes,Time restriction
