Export Type,Gas Mixing
Project,VH2D-Project-Wk-22-2026
Responsible Researcher,PhD Student Javier I. Camacho
Total Records,25
Generated At,2026-06-06 08:46:47
MATLAB Verified,Yes
Verification Reference File A,scripts/GasMixingVerificationFiles/H2_MFC_Fill_Calculator_v000.m
Verification Reference File B,scripts/GasMixingVerificationFiles/AuxFcn_H2_MFC_FillCalculator_000.m

Shared Chamber Setup,Applies to all runs unless noted otherwise
L (m),0.900
W (m),0.900
H (m),0.900
Pipes + (m^3),VARIES
Hotwire + (m^3),0.000
Welded - (m^3),0.000
Bolts - (m^3),0.000
Vchamber Corrected (L),VARIES
Setup Note,One or more chamber setup values vary between runs. Per-run setup columns are included below.

Group,Run/Test,Target H2 (%vol),Relative Humidity (%RH),Pchamber (Pa),Tchamber (K),L (m),W (m),H (m),Pipes + (m^3),Hotwire + (m^3),Welded - (m^3),Bolts - (m^3),Vchamber Corrected (L),H2 Injected Estimated (g),H2 Injected Corrected (g),H2 Injected Volume (L),MFC Flow (SLPM),Fill Time (s),Fill Time (min),Calibration Model Type,Calibration Target Basis,Calibration Enabled,Calibration Applied,Calibration a,Calibration b,Calibration Notes,Notes,Updated At
Prep-Wk22,01,13.50,,101325,292.15,0.900,0.900,0.900,0.000,0.000,0.000,0.000,729.00,8.276,Not corrected by model,98.41,20.00,301.3,5.0,,,,,,,,,2026-05-25 17:27:49
Verif-Wk22,01,13.50,,101325,294.25,0.900,0.900,0.900,0.000,0.000,0.000,0.000,729.00,8.217,Not corrected by model,98.42,20.00,299.2,5.0,,,,,,,,,2026-05-26 11:46:08
Verif-Wk22,02,14.00,,101325,293.15,0.900,0.900,0.900,0.071,0.000,0.000,0.000,799.80,9.384,Not corrected by model,111.97,20.00,334.8,5.6,,,,,,,,,2026-05-26 14:03:57
Verif-Wk22,03,16.00,,101325,294.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.638,Not corrected by model,127.37,20.00,387.3,6.5,,,,,,,,,2026-05-26 15:53:24
Verif-Wk22,04,18.00,,101325,291.65,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.070,Not corrected by model,143.29,20.00,439.5,7.3,,,,,,,,,2026-05-26 17:31:49
VH2D-Wk22-01,01,16.00,,101325,293.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.674,Not corrected by model,127.37,20.00,388.6,6.5,,,,,,,,,2026-05-27 13:51:19
VH2D-Wk22-01,02,16.00,,101325,292.05,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.714,Not corrected by model,127.37,20.00,390.1,6.5,,,,,,,,,2026-05-27 14:47:32
VH2D-Wk22-01,03,18.00,,101325,291.35,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.083,Not corrected by model,143.29,20.00,439.9,7.3,,,,,,,,,2026-05-27 15:24:55
VH2D-Wk22-01,04,18.00,,101325,290.85,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.103,Not corrected by model,143.29,20.00,440.7,7.3,,,,,,,,,2026-05-27 16:30:34
VH2D-Wk22-01,05,19.00,,101325,290.55,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.789,Not corrected by model,151.26,20.00,465.6,7.8,,,,,,,,,2026-05-27 17:50:04
