Export Type,Gas Mixing
Project,VH2D-Project
Responsible Researcher,PhD Student Javier I. Camacho
Total Records,25
Generated At,2026-05-30 09:09:35
MATLAB Verified,Yes
Verification Reference File A,scripts/GasMixingVerificationFiles/H2_MFC_Fill_Calculator_v000.m
Verification Reference File B,scripts/GasMixingVerificationFiles/AuxFcn_H2_MFC_FillCalculator_000.m

Shared Chamber Setup,Applies to all runs unless noted otherwise
L (m),0.900
W (m),0.900
H (m),0.900
Pipes + (m^3),VARIES
Hotwire + (m^3),0.000
Welded - (m^3),0.000
Bolts - (m^3),0.000
Vchamber Corrected (L),VARIES
Setup Note,One or more chamber setup values vary between runs. Per-run setup columns are included below.

Group,Run/Test,Target H2 (%vol),Pchamber (Pa),Tchamber (K),L (m),W (m),H (m),Pipes + (m^3),Hotwire + (m^3),Welded - (m^3),Bolts - (m^3),Vchamber Corrected (L),H2 Injected (g),H2 Injected Volume (L),MFC Flow (SLPM),Fill Time (s),Fill Time (min),Notes,Updated At
Prep,01,13.50,101325,292.15,0.900,0.900,0.900,0.000,0.000,0.000,0.000,729.00,8.276,98.41,20.00,301.3,5.0,,2026-05-25 17:27:49
Verif,01,13.50,101325,294.25,0.900,0.900,0.900,0.000,0.000,0.000,0.000,729.00,8.217,98.42,20.00,299.2,5.0,,2026-05-26 11:46:08
Verif,02,14.00,101325,293.15,0.900,0.900,0.900,0.071,0.000,0.000,0.000,799.80,9.384,111.97,20.00,334.8,5.6,,2026-05-26 14:03:57
Verif,03,16.00,101325,294.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.638,127.37,20.00,387.3,6.5,,2026-05-26 15:53:24
Verif,04,18.00,101325,291.65,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.070,143.29,20.00,439.5,7.3,,2026-05-26 17:31:49
VH2D-01,01,16.00,101325,293.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.674,127.37,20.00,388.6,6.5,,2026-05-27 13:51:19
VH2D-01,02,16.00,101325,292.05,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.714,127.37,20.00,390.1,6.5,,2026-05-27 14:47:32
VH2D-01,03,18.00,101325,291.35,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.083,143.29,20.00,439.9,7.3,,2026-05-27 15:24:55
VH2D-01,04,18.00,101325,290.85,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.103,143.29,20.00,440.7,7.3,,2026-05-27 16:30:34
VH2D-01,05,19.00,101325,290.55,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.789,151.26,20.00,465.6,7.8,,2026-05-27 17:50:04
VH2D-01,07,20.00,101325,290.56,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.462,159.22,20.00,490.1,8.2,,2026-05-27 17:57:37
VH2D-02,01,18.00,101325,289.95,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.141,143.29,20.00,442.0,7.4,,2026-05-28 11:41:03
VH2D-02,02,18.00,101325,291.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.091,143.29,20.00,440.2,7.3,,2026-05-28 11:43:19
VH2D-02,03,20.00,101325,293.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.343,159.22,20.00,485.8,8.1,,2026-05-28 13:22:48
VH2D-02,04,20.00,101325,292.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.388,159.22,20.00,487.5,8.1,,2026-05-28 14:16:19
VH2D-03,01,18.00,101325,292.45,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.037,143.29,20.00,438.3,7.3,,2026-05-28 15:53:21
VH2D-03,02,18.00,101325,292.25,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,12.045,143.29,20.00,438.6,7.3,,2026-05-28 16:35:43
VH2D-03,03,20.00,101325,292.15,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.388,159.22,20.00,487.5,8.1,,2026-05-28 17:13:08
VH2D-03,04,20.00,101325,291.65,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.411,159.22,20.00,488.3,8.1,,2026-05-28 17:59:31
VH2D-03,05,20.00,101325,291.45,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.421,159.22,20.00,488.6,8.1,,2026-05-28 18:37:23
VH2D-04,01,16.00,101325,291.75,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.725,127.37,20.00,390.5,6.5,,2026-05-29 10:32:56
VH2D-04,02,16.00,101325,292.75,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,10.689,127.37,20.00,389.2,6.5,,2026-05-29 11:36:38
VH2D-04,03,21.00,101325,293.05,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,14.015,167.18,20.00,510.3,8.5,,2026-05-29 12:40:04
VH2D-04,04,21.00,101325,293.75,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,13.981,167.18,20.00,509.0,8.5,,2026-05-29 13:31:18
VH2D-04,05,12.00,101325,295.05,0.900,0.900,0.900,0.067,0.000,0.000,0.000,796.08,7.954,95.53,10.00,579.2,9.7,MFC set to 7.954 g (12 vol.%) but stopped at vol. 8% at location measured by H2CM,2026-05-29 14:59:44
